symbol,model,accuracy,precision,recall,f1,auc,training_time
ADANIENT,lightgbm,0.8282828282828283,1.0,0.8282828282828283,0.9060773480662984,,0.46281933784484863
ADANIENT,xgboost,0.9494949494949495,1.0,0.9494949494949495,0.9740932642487047,,0.3000001907348633
ADANIENT,catboost,0.9696969696969697,1.0,0.9696969696969697,0.9846153846153847,,1.8243255615234375
ASIANPAINT,lightgbm,0.6382978723404256,0.8688524590163934,0.6708860759493671,0.7571428571428571,0.5059071729957806,0.20999670028686523
ASIANPAINT,xgboost,0.7872340425531915,0.8554216867469879,0.8987341772151899,0.8765432098765432,0.5004219409282701,0.1829993724822998
ASIANPAINT,catboost,0.8404255319148937,0.8809523809523809,0.9367088607594937,0.9079754601226994,0.7367088607594937,3.7341222763061523
AXISBANK,lightgbm,0.8409090909090909,0.9655172413793104,0.8235294117647058,0.8888888888888888,0.8977941176470587,0.25257158279418945
AXISBANK,xgboost,0.8295454545454546,0.9818181818181818,0.7941176470588235,0.8780487804878049,0.8867647058823529,0.30750560760498047
AXISBANK,catboost,0.7159090909090909,0.9387755102040817,0.6764705882352942,0.7863247863247863,0.8827205882352942,1.7911274433135986
BAJFINANCE,lightgbm,0.7865168539325843,1.0,0.7564102564102564,0.8613138686131386,0.9137529137529137,0.3099997043609619
BAJFINANCE,xgboost,0.7640449438202247,1.0,0.7307692307692307,0.8444444444444444,0.8403263403263403,0.22900176048278809
BAJFINANCE,catboost,0.6853932584269663,1.0,0.6410256410256411,0.78125,0.923076923076923,1.7394285202026367
BHARTIARTL,lightgbm,0.6282051282051282,0.603448275862069,0.8536585365853658,0.7070707070707071,0.5906394199077125,0.5639986991882324
BHARTIARTL,xgboost,0.5384615384615384,0.5490196078431373,0.6829268292682927,0.6086956521739131,0.5563612392880685,0.19450592994689941
BHARTIARTL,catboost,0.5769230769230769,0.6111111111111112,0.5365853658536586,0.5714285714285714,0.6341463414634146,2.6507012844085693
HDFCBANK,lightgbm,0.7864077669902912,1.0,0.7864077669902912,0.8804347826086957,,0.22799992561340332
HDFCBANK,xgboost,0.8543689320388349,1.0,0.8543689320388349,0.9214659685863874,,0.1625077724456787
HDFCBANK,catboost,0.8737864077669902,1.0,0.8737864077669902,0.9326424870466321,,1.71614670753479
HINDUNILVR,lightgbm,0.8431372549019608,1.0,0.8431372549019608,0.9148936170212766,,0.22099804878234863
HINDUNILVR,xgboost,0.8921568627450981,1.0,0.8921568627450981,0.9430051813471503,,0.19440793991088867
HINDUNILVR,catboost,0.9117647058823529,1.0,0.9117647058823529,0.9538461538461539,,1.6968178749084473
ICICIBANK,lightgbm,0.9263157894736842,0.9761904761904762,0.9425287356321839,0.9590643274853801,0.8721264367816092,0.4405062198638916
ICICIBANK,xgboost,0.8315789473684211,0.961038961038961,0.8505747126436781,0.9024390243902439,0.8922413793103448,0.6620640754699707
ICICIBANK,catboost,0.6947368421052632,0.967741935483871,0.6896551724137931,0.8053691275167785,0.7873563218390804,1.5761637687683105
INFY,lightgbm,0.6931818181818182,1.0,0.5970149253731343,0.7476635514018691,0.8152096659559346,0.5035052299499512
INFY,xgboost,0.6931818181818182,1.0,0.5970149253731343,0.7476635514018691,0.8855721393034826,0.1855616569519043
INFY,catboost,0.6363636363636364,1.0,0.5223880597014925,0.6862745098039216,0.9267945984363894,2.037259817123413
ITC,lightgbm,0.8877551020408163,1.0,0.8877551020408163,0.9405405405405406,,0.22087740898132324
ITC,xgboost,0.8979591836734694,1.0,0.8979591836734694,0.946236559139785,,0.13299846649169922
ITC,catboost,0.9183673469387755,1.0,0.9183673469387755,0.9574468085106383,,1.7051455974578857
KOTAKBANK,lightgbm,0.9292929292929293,1.0,0.9292929292929293,0.9633507853403142,,0.22588062286376953
KOTAKBANK,xgboost,0.8585858585858586,1.0,0.8585858585858586,0.9239130434782609,,0.18755173683166504
KOTAKBANK,catboost,0.8181818181818182,1.0,0.8181818181818182,0.9,,1.7336223125457764
MARUTI,lightgbm,0.96875,1.0,0.967032967032967,0.9832402234636871,1.0,0.26417064666748047
MARUTI,xgboost,0.9166666666666666,1.0,0.9120879120879121,0.9540229885057471,0.9802197802197802,0.14100027084350586
MARUTI,catboost,0.8541666666666666,1.0,0.8461538461538461,0.9166666666666666,1.0,1.989652156829834
RELIANCE,lightgbm,0.8222222222222222,0.9464285714285714,0.803030303030303,0.8688524590163934,0.9122474747474747,0.7956161499023438
RELIANCE,xgboost,0.7333333333333333,0.9038461538461539,0.7121212121212122,0.7966101694915254,0.8390151515151516,0.18200016021728516
RELIANCE,catboost,0.8,0.9444444444444444,0.7727272727272727,0.85,0.9185606060606061,8.596951723098755
SBIN,lightgbm,0.8333333333333334,0.9642857142857143,0.8059701492537313,0.8780487804878049,0.9256975989617131,0.25999927520751953
SBIN,xgboost,0.8777777777777778,0.9666666666666667,0.8656716417910447,0.9133858267716536,0.926670992861778,0.5495038032531738
SBIN,catboost,0.8888888888888888,0.9830508474576272,0.8656716417910447,0.9206349206349206,0.9487345879299156,4.207225322723389
SUNPHARMA,lightgbm,0.7469879518072289,0.9318181818181818,0.6949152542372882,0.7961165048543689,0.8502824858757062,0.30699992179870605
SUNPHARMA,xgboost,0.5421686746987951,0.92,0.3898305084745763,0.5476190476190477,0.7259887005649718,0.2540016174316406
SUNPHARMA,catboost,0.6144578313253012,0.8292682926829268,0.576271186440678,0.68,0.6514830508474577,3.247537612915039
TATAMOTORS,lightgbm,0.5802469135802469,0.3333333333333333,0.5454545454545454,0.41379310344827586,0.6795069337442219,0.41950488090515137
TATAMOTORS,xgboost,0.5555555555555556,0.3541666666666667,0.7727272727272727,0.4857142857142857,0.6409861325115562,0.13000035285949707
TATAMOTORS,catboost,0.6419753086419753,0.42857142857142855,0.9545454545454546,0.5915492957746479,0.8651771956856702,1.6584210395812988
TCS,lightgbm,0.8,1.0,0.8,0.8888888888888888,,0.2239997386932373
TCS,xgboost,0.91,1.0,0.91,0.9528795811518325,,0.15800046920776367
TCS,catboost,0.93,1.0,0.93,0.9637305699481865,,1.745025873184204
TITAN,lightgbm,0.6296296296296297,0.7857142857142857,0.4782608695652174,0.5945945945945946,0.7922360248447206,0.2689995765686035
TITAN,xgboost,0.6419753086419753,0.7931034482758621,0.5,0.6133333333333333,0.7944099378881988,0.2780001163482666
TITAN,catboost,0.6666666666666666,0.9523809523809523,0.43478260869565216,0.5970149253731343,0.7515527950310559,3.563383102416992
ULTRACEMCO,lightgbm,0.7888888888888889,1.0,0.7432432432432432,0.8527131782945736,0.8374155405405406,0.3059983253479004
ULTRACEMCO,xgboost,0.7666666666666667,0.9649122807017544,0.7432432432432432,0.8396946564885496,0.8809121621621621,0.20200014114379883
ULTRACEMCO,catboost,0.7888888888888889,1.0,0.7432432432432432,0.8527131782945736,0.902027027027027,3.20304012298584
WIPRO,lightgbm,0.8478260869565217,0.9295774647887324,0.88,0.9041095890410958,0.9101960784313725,0.2185060977935791
WIPRO,xgboost,0.8260869565217391,0.9154929577464789,0.8666666666666667,0.8904109589041096,0.8894117647058823,0.492706298828125
WIPRO,catboost,0.75,0.9814814814814815,0.7066666666666667,0.8217054263565892,0.9474509803921568,1.7640225887298584
